Job Title,Company Name,Location,Experience Level,Industry,No of Applications,Domain,AI_Impact_Category
Assistant Manager - Big Data,KPMG India,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,25,Data Analyst,Low AI Impact
Data Analyst,Grid Dynamics,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,AI Adoption Affected
Analyst,Wipro,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Customer Success Associate,Laundryheap,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,115,Data Analyst,Low AI Impact
Data Analyst,UST,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Analyst,Wipro,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Growth Associate,Dodo Payments,"Bengaluru, Karnataka, India",Entry level,Financial Services,199,Data Analyst,Automation Affected
Junior Salesforce Developer,Selah Digital,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,200,Data Analyst,Automation Affected
Associate Analyst,Lowe's India,"Bengaluru, Karnataka, India",Entry level,Retail ,200,Data Analyst,Automation Affected
Data Analyst,Scoutit,"Bengaluru, Karnataka, India",Entry level,"Technology, Information and Internet",200,Data Analyst,Low AI Impact
Associate - HR Admin,Tesco Bengaluru,"Bengaluru, Karnataka, India",Entry level,Retail ,200,Data Analyst,Low AI Impact
Data Analyst (Full time - Shillong),ViewZen Labs Private Limited,"Bengaluru, Karnataka, India",Entry level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",200,Data Analyst,AI Adoption Affected
Trainee,Tata Advanced Systems Limited,"Bengaluru, Karnataka, India",Entry level,Defense and Space Manufacturing,200,Data Analyst,Low AI Impact
Assistant Manager - Big Data,KPMG India,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,25,Data Analyst,Low AI Impact
Data Analyst,Quest Global,"Bengaluru, Karnataka, India",Entry level,Engineering Services,200,Data Analyst,Automation Affected
"Consultant, Data Analytics & Reporting",Cargill,"Bengaluru, Karnataka, India",Entry level,Chemical Manufacturing,200,Data Analyst,Automation Affected
Associate Analyst,Lowe's India,"Bengaluru, Karnataka, India",Entry level,Retail ,200,Data Analyst,Automation Affected
Data Reporting Analyst,FasTutorAI,"Bengaluru, Karnataka, India",Entry level,Software Development,200,Data Analyst,Automation Affected
Data Analyst II,Astreya,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,AI Adoption Affected
Founder's Office Executive,Varalife®,"Bengaluru, Karnataka, India",Entry level,Biotechnology Research,200,Data Analyst,Low AI Impact
Data Engineer,Kobie,"Bengaluru, Karnataka, India",Entry level,Marketing Services,83,Data Analyst,Low AI Impact
Junior Data Analyst,NVS Travel Solutions Private Limited,"Bengaluru, Karnataka, India",Entry level,Transportation/Trucking/Railroad,200,Data Analyst,Low AI Impact
"Lead Associate - Business Analyst, Strategy & CEO's office",Myntra,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,200,Data Analyst,Low AI Impact
"Data Analyst, BI",Assembly Global,"Bengaluru, Karnataka, India",Entry level,Advertising Services,200,Data Analyst,AI Adoption Affected
Product Support Engineer - Executive,Deloitte,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Data Management Specialist,Genisys Group,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Assistant Manager - Data Governance,KPMG India,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,25,Data Analyst,Low AI Impact
Learner Success Manager,Skillfyme,"Bengaluru, Karnataka, India",Entry level,E-Learning Providers,40,Data Analyst,Low AI Impact
Canada GES- Associate,PwC Acceleration Center India,"Bengaluru, Karnataka, India",Entry level,Professional Services,126,Data Analyst,Automation Affected
MIS Executive,Yoga Bar (Sprout Life Foods),"Bengaluru, Karnataka, India",Entry level,Food and Beverage Services,200,Data Analyst,Low AI Impact
Analyst I- ML Services,Sprinklr,"Bengaluru, Karnataka, India",Entry level,Software Development,200,Data Analyst,Low AI Impact
IT Support Executive,LWYD Interactive,"Bengaluru, Karnataka, India",Entry level,Advertising Services,200,Data Analyst,Low AI Impact
Executive - Snowflake,KPMG India,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,96,Data Analyst,Low AI Impact
Data Analyst,MyYogaTeacher,"Bengaluru, Karnataka, India",Entry level,Wellness and Fitness Services,200,Data Analyst,AI Adoption Affected
Assistant Manager - Business Analyst,KPMG India,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,200,Data Analyst,Low AI Impact
Production Support Engineer I,WeWork India,"Bengaluru, Karnataka, India",Entry level,Real Estate,200,Data Analyst,Automation Affected
Data Analyst,Quest Global,"Bengaluru, Karnataka, India",Entry level,Engineering Services,200,Data Analyst,Low AI Impact
Assistant Accountant (R2R),Eastvantage,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,152,Data Analyst,Low AI Impact
Spartacus Developer,Royal Cyber Inc.,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,25,Data Analyst,Low AI Impact
IT Analyst,Capco,"Bengaluru, Karnataka, India",Entry level,Financial Services,169,Data Analyst,Automation Affected
Analyst 1,Scoutit,"Bengaluru, Karnataka, India",Entry level,"Technology, Information and Internet",200,Data Analyst,Low AI Impact
Data Analyst,Aditi India,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Automation Affected
Data Analyst,ProPharma,"Hyderabad, Telangana, India",Entry level,Business Consulting and Services,200,Data Analyst,Low AI Impact
Data Analyst L4,Wipro,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Automation Affected
Data Analyst,Scoutit,"Hyderabad, Telangana, India",Entry level,"Technology, Information and Internet",200,Data Analyst,Low AI Impact
Medical Data Analyst I,Cohere Health,"Hyderabad, Telangana, India",Entry level,Software Development,200,Data Analyst,AI Adoption Affected
BDA - CGE - Odisha,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,25,Data Analyst,Low AI Impact
Project Coordinator,Enveda,"Hyderabad, Telangana, India",Entry level,Biotechnology Research,200,Data Analyst,Low AI Impact
Executive - Human Resources,AllCloud,"Hyderabad, Telangana, India",Entry level,Software Development,200,Data Analyst,Low AI Impact
BDA - CGE - Karnataka,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,25,Data Analyst,Low AI Impact
Administration Associate in Hyderabad,ferrari video,"Hyderabad, Telangana, India",Entry level,Advertising Services,198,Data Analyst,Low AI Impact
Regulatory Data Analyst,Flutter Entertainment,"Hyderabad, Telangana, India",Entry level,Entertainment Providers,190,Data Analyst,Automation Affected
BDA - LQ - Hindi,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,25,Data Analyst,Low AI Impact
Lead Analyst - Data Engineer,CGI,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,124,Data Analyst,Low AI Impact
Regulatory Data Analyst,Flutter Entertainment India,"Hyderabad, Telangana, India",Entry level,Entertainment Providers,182,Data Analyst,Automation Affected
Onboarding Specialist,Deloitte,"Hyderabad, Telangana, India",Entry level,Business Consulting and Services,200,Data Analyst,Low AI Impact
Analyst,GlobalData Plc,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Article Assistant,SBS and Company LLP,"Hyderabad, Telangana, India",Entry level,Accounting,25,Data Analyst,Low AI Impact
Production Assistant,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,48,Data Analyst,Low AI Impact
Data Unveil - Junior Data Analyst,Data Unveil,"Hyderabad, Telangana, India",Entry level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",200,Data Analyst,Automation Affected
Interesting Job Opportunity: Python Developer - Unix/Linux,RedRock IT Solutions,"Hyderabad, Telangana, India",Entry level,"Technology, Information and Internet",28,Data Analyst,Automation Affected
Maps Specialist,DoorDash,"Hyderabad, Telangana, India",Entry level,"Technology, Information and Internet",200,Data Analyst,Automation Affected
Junior Support Analyst,Arup,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,"Hyderabad, Telangana, India",Entry level,"Technology, Information and Internet",200,Data Analyst,AI Adoption Affected
Analyst,IFF,"Hyderabad, Telangana, India",Entry level,Chemical Manufacturing,97,Data Analyst,Low AI Impact
Junior Data Engineer,Advance Auto Parts,"Hyderabad, Telangana, India",Entry level,Motor Vehicle Manufacturing,200,Data Analyst,AI Adoption Affected
Analyst,IFF,"Hyderabad, Telangana, India",Entry level,Chemical Manufacturing,147,Data Analyst,Low AI Impact
Analyst,IFF,"Hyderabad, Telangana, India",Entry level,Chemical Manufacturing,123,Data Analyst,Low AI Impact
Analyst,IFF,"Hyderabad, Telangana, India",Entry level,Chemical Manufacturing,58,Data Analyst,Low AI Impact
M.tech Fresher ,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,200,Data Analyst,AI Adoption Affected
Lab Technician - India,Fourier,"Hyderabad, Telangana, India",Entry level,Renewable Energy Equipment Manufacturing,81,Data Analyst,Low AI Impact
Associate Analyst,GlobalData Plc,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Data Visualization Engineer I,Kroll,"Hyderabad, Telangana, India",Entry level,Business Consulting and Services,200,Data Analyst,Low AI Impact
Community Associate,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,200,Data Analyst,Low AI Impact
IT Consulting,Infosys,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,60,Data Analyst,Low AI Impact
Analyst,GlobalData Plc,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
"Data Analyst I, Field Effectiveness & Alignment",Bristol Myers Squibb,"Hyderabad, Telangana, India",Entry level,Pharmaceutical Manufacturing,200,Data Analyst,Automation Affected
PPT Designers,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,61,Data Analyst,Low AI Impact
IT Consulting,Infosys,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,142,Data Analyst,Low AI Impact
CRM Administrator - Zoho,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,42,Data Analyst,Automation Affected
IT Consulting,Infosys,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,63,Data Analyst,Low AI Impact
Service Desk Analyst L1,Wipro,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Technical Operations Associate_ [WFO],NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,200,Data Analyst,Low AI Impact
IT Support Engineer,Sikich India,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
"Associate Data Analyst (New Graduate, Thai Speaking) (Marketing Analytics, Bangkok Based)",Agoda,"Hyderabad, Telangana, India",Entry level,"Technology, Information and Internet",200,Data Analyst,AI Adoption Affected
Analyst/Senior Analyst - Executive Assistant,DESRI,"Hyderabad, Telangana, India",Entry level,Renewable Energy Power Generation,200,Data Analyst,Low AI Impact
Front Office Executives,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,148,Data Analyst,Low AI Impact
Project Executive,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,200,Data Analyst,Low AI Impact
Clinical Data Specialist,Novartis India,"Hyderabad, Telangana, India",Entry level,Pharmaceutical Manufacturing,200,Data Analyst,Low AI Impact
Teaching Assistant,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,88,Data Analyst,AI Adoption Affected
Legal Data Analyst,Zelis,"Hyderabad, Telangana, India",Entry level,Professional Services,181,Data Analyst,Automation Affected
Alteryx Analyst,Infosys,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,195,Data Analyst,Low AI Impact
Associate Business Analyst - GIS,Infosys,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
BDA - CGE - Kerala,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,25,Data Analyst,Low AI Impact
Information Technology Support Engineer,askari infotech,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Analyst L2,Wipro,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Desktop support,ITC Infotech,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,Data Analyst,Low AI Impact
Executive - Data Analyst,Transasia Bio-Medicals Ltd.,"Mumbai, Maharashtra, India",Entry level,Medical,200,Data Analyst,Low AI Impact
Executive - Data Analytics,KPMG India,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,200,Data Analyst,AI Adoption Affected
Data Analyst_Asociate_Data & Analytics Engineering,Morgan Stanley,"Mumbai, Maharashtra, India",Entry level,Financial Services,200,Data Analyst,AI Adoption Affected
Data Analyst-Retail Assets,IDFC FIRST Bank,"Mumbai, Maharashtra, India",Entry level,Banking,168,Data Analyst,Low AI Impact
"Data Operations, Aladdin Data, Analyst",BlackRock,"Mumbai, Maharashtra, India",Entry level,Financial Services,200,Data Analyst,Low AI Impact
ICICI Bank Aspire Program,ICICI Bank,"Mumbai, Maharashtra, India",Entry level,Banking,200,Data Analyst,Low AI Impact
Executive - Business Analyst,KPMG India,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,200,Data Analyst,Low AI Impact
Assistant Manager - Big Data,KPMG India,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,25,Data Analyst,Low AI Impact
Assistant Manager,Deloitte,"Mumbai, Maharashtra, India",Entry level,Financial Services,200,Data Analyst,Low AI Impact
Business Analyst,ICICI Bank,"Mumbai, Maharashtra, India",Entry level,Banking,200,Data Analyst,Low AI Impact
Analyst - Data Administration,BNP Paribas,"Mumbai, Maharashtra, India",Entry level,Banking,155,Data Analyst,Low AI Impact
Assistant Manager,Tata Communications,"Mumbai, Maharashtra, India",Entry level,Telecommunications,200,Data Analyst,Low AI Impact
Assistant Manager - DataStage,KPMG India,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,25,Data Analyst,Low AI Impact
Executive - Investigations,KPMG India,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,65,Data Analyst,Low AI Impact
"Derivative Data Operations, Aladdin Data, Analyst",BlackRock,"Mumbai, Maharashtra, India",Entry level,Financial Services,200,Data Analyst,Low AI Impact
